878	10	65535	65535	1	65535	©ÊJ0.00
3710	8	4740	6629	6489	4716	15.14	14.92
3719	9	4706	6948	6491	5180	14.54	14.56
3728	9	4656	7218	6934	5461	13.69	14.29
3736	8	4516	7065	6348	5153	14.75	14.65
3744	8	4597	6784	6157	4723	15.59	14.91
3752	8	4607	6744	6279	5102	14.91	14.95
3762	10	4729	6354	6476	4709	15.17	15.31
3770	8	4701	6937	6479	5176	14.56	14.58
3779	9	4655	7471	6991	5432	13.66	13.99
3787	8	4256	6813	6680	5205	14.27	15.33
3796	9	4602	7049	6352	5156	14.74	14.56
3804	8	4864	6753	6166	4984	15.21	14.60
3812	8	4733	6373	6549	4853	14.88	15.28
3821	9	4709	6629	6493	4720	15.13	14.96
3830	9	4669	6952	6494	5443	14.21	14.60
3838	8	4669	7233	6694	5212	14.25	14.25
3846	8	4527	7084	6366	5166	14.71	14.61
3854	8	4612	6807	6174	4990	15.20	14.86
3864	10	27498	6762	6300	5108	14.87	4.95
3872	8	4739	6625	6494	4719	15.13	14.93
3881	9	4711	6951	6493	5181	14.53	14.55
3889	8	4663	7479	6943	5465	13.67	13.97
3898	9	4520	6816	6360	5156	14.73	14.97
3906	8	4601	7050	6167	4730	15.57	14.56
3914	8	4869	6755	6293	5110	14.88	14.59
3923	9	4741	6374	6549	4722	15.05	15.26
3932	9	4716	6960	6496	4722	15.12	14.53
3941	9	4671	7494	6503	5451	14.19	13.95
3949	8	4275	6727	25442	5219	5.53	15.42
3957	8	4869	7094	6374	5168	14.70	14.18
3966	9	4619	6809	6182	4988	15.19	14.84
3974	8	4619	6760	6557	4857	14.86	14.91
3983	9	4734	6612	6491	4711	15.14	14.95
3991	8	4702	6935	6484	5426	14.24	14.58
3999	8	4650	7209	6928	5446	13.71	14.31
4007	8	4510	7058	6343	5147	14.76	14.67
4015	8	4591	6778	6151	4714	15.61	14.92
4024	9	4605	6742	6281	5098	14.91	14.95
4032	8	4730	6361	6482	4707	15.16	15.30
4041	9	4708	6944	6487	5178	14.54	14.56
4049	8	4658	7479	6941	5463	13.68	13.98
4057	8	4267	6822	6358	5157	14.73	15.30
4065	8	4606	7056	6359	5157	14.73	14.55
4073	8	4866	6754	6167	4983	15.21	14.60
4082	9	4730	6364	6546	4852	14.88	15.29
4090	8	4705	7132	6490	4712	15.14	14.33
4099	9	4656	6943	302	1	559.89	14.63
4107	8	4258	7215	5980	5200	15.17	14.79
4115	8	4514	7065	6356	5156	14.74	14.65
4124	9	4599	6790	6163	4977	15.23	14.90
4132	8	4607	6748	6542	4847	14.90	14.94
4141	9	4731	6615	6484	4709	15.16	14.95
4149	8	4705	6941	6485	5177	14.55	14.57
4158	9	4657	7213	6935	5458	13.69	14.29
4166	8	4513	6811	6356	5153	14.74	14.98
4174	8	4601	7045	6167	4721	15.58	14.57
4183	9	4613	6751	6288	5105	14.89	14.93
4192	9	4732	6359	6493	4711	15.14	15.30
4201	9	4708	6940	6486	5179	14.54	14.56
4209	8	4656	7471	6487	5434	14.23	13.99
4217	8	4261	6810	6684	5203	14.27	15.32
4226	9	4599	7067	6360	5157	14.73	14.54
4234	8	4865	6790	6165	4979	15.22	14.56
4243	9	4731	6745	6546	4847	14.89	14.78
4251	8	4707	6623	6488	4716	15.14	14.97
4261	10	4706	6949	6493	5442	14.21	14.56
4269	8	4661	7223	6690	5209	14.26	14.28
4277	8	4522	7076	6365	5159	14.72	14.63
4285	8	4608	6800	6175	4727	15.56	14.87
4294	9	4612	6754	6295	5107	14.88	14.93
4303	9	4733	6616	6495	4713	15.14	14.95
4311	8	4705	6940	6491	5180	14.54	14.57
4319	8	4658	7472	6944	5456	13.68	13.99
4328	9	4260	6813	6358	5157	14.73	15.32
4336	8	4597	7049	6169	4721	15.58	14.57
4344	8	4869	6752	6296	5111	14.87	14.60
4352	8	4736	6368	6553	4714	15.06	15.28
4362	10	4710	6952	6497	4714	15.13	14.55
4370	8	4665	6952	6496	5440	14.21	14.60
4378	8	4266	7228	6694	5206	14.26	14.76
4386	8	5035	7076	6363	5160	14.72	14.01
4395	9	4608	6801	6172	4984	15.21	14.87
4404	9	4617	6759	6551	4852	14.88	14.91
4412	8	4736	6623	6492	4717	15.13	14.93
4421	9	4707	6949	6495	5438	14.22	14.55
4430	9	4659	7220	6951	5464	13.66	14.28
4438	8	4517	6812	6362	5160	14.72	14.97
4446	8	4600	7047	6167	4728	15.57	14.57
4454	8	4607	6746	6289	5104	14.89	14.94
4464	10	4987	6361	6493	4712	15.14	14.95
4472	8	4711	6945	6492	5180	14.53	14.55
4481	9	4660	7479	6944	5460	13.68	13.98
4489	8	4266	6821	6176	5204	14.91	15.30
4498	9	4604	7057	6362	5160	14.72	14.55
4506	8	4872	6800	6172	4988	15.20	14.53
4514	8	4738	6761	6552	4860	14.87	14.75
4523	9	4715	6637	6496	4727	15.12	14.94
4531	8	4715	6966	6506	5451	14.19	14.52
4539	8	4672	7242	25442	5219	5.53	14.24
4547	8	4533	7096	6379	5168	14.69	14.59
4555	8	4620	6816	6187	4992	15.18	14.83
4564	9	4627	6771	6567	4862	14.84	14.88
4572	8	4748	6633	6509	4722	15.11	14.91
4581	9	4719	6961	6506	5193	14.50	14.52
4589	8	4666	7485	6956	5468	13.65	13.96
4597	8	4268	6822	6371	5168	14.70	15.30
4605	8	4864	7059	6181	4730	15.55	14.23
4613	8	4619	6763	6302	5117	14.86	14.90
4620	7	4743	25956	6505	4722	15.11	5.53
4629	9	4721	6962	6507	4723	15.11	14.52
4638	9	4670	6963	6506	5450	14.19	14.58
4646	8	4272	7240	6704	5218	14.23	14.74
4655	9	5041	7090	6372	5170	14.70	13.98
4663	8	4616	6812	6181	4993	15.18	14.84
4671	8	4623	6767	6564	4863	14.85	14.89
4680	9	4745	6634	6504	4723	15.11	14.91
4689	9	4715	6959	6504	5448	14.19	14.53
4697	8	4668	7233	6704	5216	14.23	14.25
4705	8	4527	6827	6376	5169	14.69	14.94
4713	8	4611	7061	6181	4735	15.54	14.53
4723	10	4620	6763	6306	4864	15.19	14.90
4731	8	27498	6383	6504	4982	14.77	5.01
4740	9	4719	6964	6506	5193	14.50	14.52
4748	8	4670	7496	6963	5475	13.64	13.94
4757	9	4279	6836	25442	5173	5.54	15.26
4765	8	4870	7092	6378	4661	15.37	14.18
4773	8	4622	6813	6181	4994	15.18	14.84
4780	7	4744	25956	6563	4860	14.85	5.53
4789	9	4718	25956	6505	4727	15.10	5.53
4799	10	4719	6965	6505	5446	14.20	14.52
4807	8	4673	7242	6702	5216	14.23	14.24
4815	8	4532	7092	6376	5173	14.69	14.59
4824	9	4617	6816	6181	4995	15.18	14.84
4832	8	4625	6777	6570	4866	14.83	14.88
4841	9	4750	6641	6512	4731	15.09	14.89
4849	8	4723	6973	6517	5195	14.48	14.50
4858	9	4674	7502	6964	5479	13.63	13.93
4866	8	4278	6843	6380	5175	14.68	15.25
4874	8	4874	7070	6188	4741	15.52	14.20
4882	8	4625	6768	6308	4866	15.18	14.89
4891	9	4751	6389	6507	4987	14.76	15.23
4900	9	4724	7156	6513	5243	14.43	14.28
4908	8	4674	6974	6512	5455	14.18	14.56
4916	8	4284	7249	6713	5224	14.21	14.71
4925	9	4540	7102	6386	5174	14.68	14.57
4933	8	4623	6822	6195	4999	15.16	14.82
4942	9	4627	6776	6572	4865	14.83	14.88
4950	8	4748	6639	6511	4730	15.09	14.90
4960	10	4721	6970	6511	5453	14.18	14.51
4968	8	4673	7500	6708	5219	14.22	13.94
4976	8	4532	6840	25442	5175	5.54	14.92
4984	8	4617	7074	6187	4740	15.53	14.51
4993	9	4627	6776	6319	4865	15.17	14.88
5002	9	4752	6384	6514	4988	14.75	15.23
5010	8	4724	6972	6514	5201	14.48	14.50
5019	9	4669	7496	6969	5479	13.63	13.95
5028	9	4273	6728	6380	5175	14.68	15.42
5036	8	4871	7088	6190	4663	15.63	14.19
5044	8	4622	6811	6191	4994	15.17	14.84
5052	8	4623	6770	6568	4861	14.84	14.89
5062	10	4741	6631	6511	4726	15.10	14.92
5070	8	4718	6961	6506	5448	14.19	14.53
5078	8	4669	7238	6707	5219	14.22	14.25
5086	8	4530	7095	6378	5174	14.69	14.59
5094	8	4611	6813	6187	4996	15.17	14.85
5103	9	4626	6775	6572	4867	14.83	14.88
5111	8	4748	6390	6512	4734	15.09	15.23
5120	9	4726	6978	6519	5200	14.48	14.49
5128	8	4678	7510	6974	5483	13.62	13.92
5136	8	4287	6852	6388	5183	14.66	15.23
5144	8	4887	7088	6196	4752	15.50	14.17
5152	8	4636	6793	6322	4874	15.15	14.84
5161	9	4752	6388	6522	4993	14.73	15.23
5169	8	4728	6645	6518	5249	14.42	14.92
5178	9	4670	6973	6519	5457	14.17	14.57
5186	8	4671	7238	6715	5225	14.21	14.25
5194	8	4529	7086	6384	5172	14.68	14.61
5202	8	4613	6809	6187	4997	15.17	14.85
5210	8	4618	6764	6566	4859	14.85	14.90
5220	10	4740	6632	6504	4726	15.11	14.92
5228	8	4716	6963	6509	5448	14.19	14.53
5236	8	4668	7497	6702	5216	14.23	13.95
5244	8	4533	6839	6380	5173	14.68	14.92
5253	9	4875	7075	6193	4747	15.51	14.20
5262	9	4631	6781	6327	4875	15.14	14.87
5270	8	4756	6399	6524	4999	14.72	15.21
5279	9	4734	6986	6529	5211	14.45	14.47
5288	9	4684	7499	6984	5488	13.60	13.92
5296	8	4287	7258	6392	5181	14.66	14.69
5304	8	4887	7103	6393	4669	15.34	14.15
5312	8	4630	6823	6199	5004	15.14	14.81
5322	10	4627	6776	6574	4865	14.83	14.88
5330	8	4743	6634	6511	4732	15.09	14.91
5339	9	4719	6962	6509	5451	14.18	14.52
5347	8	4670	7235	6704	5220	14.23	14.25
5356	9	4528	7084	6378	5169	14.69	14.61
5364	8	4617	7066	6184	4996	15.17	14.52
5372	8	4627	6773	6574	4864	14.83	14.88
5381	9	4746	6389	6510	4734	15.09	15.24
5390	9	4726	6976	6514	5203	14.48	14.50
5398	8	4678	7509	6971	5483	13.62	13.92
5406	8	4282	6844	6385	5176	14.67	15.25
5414	8	4876	7077	6190	4740	15.52	14.19
5424	10	4623	6821	6310	5116	14.85	14.82
5432	8	4744	6774	6511	4725	15.10	14.73
5441	9	4718	6632	6504	5236	14.45	14.95
5449	8	4719	6962	6504	5447	14.20	14.52
5458	9	4664	7231	6701	5211	14.24	14.26
5466	8	4527	7081	6371	5165	14.71	14.61
5474	8	4608	6796	6177	4986	15.20	14.88
5483	9	4614	6754	6554	4849	14.88	14.92
5492	9	4732	6620	6495	4714	15.13	14.94
5501	9	4709	6952	6495	5437	14.22	14.55
5509	8	4661	7482	6690	5208	14.26	13.97
5517	8	4525	6825	6364	5162	14.72	14.95
5526	9	4866	7060	6175	4736	15.55	14.22
5534	8	4620	6765	6307	5114	14.85	14.90
5541	7	4739	25956	6505	4728	15.10	5.53
5550	9	4717	6956	6503	5186	14.51	14.53
5559	9	4666	6957	6953	5469	13.66	14.60
5567	8	4266	7230	6367	5159	14.72	14.76
5575	8	4864	7075	6175	4725	15.56	14.21
5583	8	4608	6794	6175	4981	15.21	14.88
5592	9	4612	6750	6547	4848	14.89	14.93
5601	9	4731	6617	6488	4714	15.14	14.95
5609	8	4704	6946	6488	5433	14.23	14.56
5617	8	4655	7216	6682	5202	14.28	14.29
5625	8	4519	7068	6360	5155	14.73	14.64
5633	8	4604	7050	6164	4980	15.22	14.56
5642	9	4614	6752	6551	4850	14.88	14.93
5650	8	4734	6369	6494	4718	15.13	15.28
5659	9	4716	6957	6500	5186	14.52	14.53
5667	8	4666	7490	6952	5468	13.66	13.96
5675	8	4270	6831	6369	5162	14.71	15.28
5683	8	4867	7060	6178	4736	15.54	14.22
5691	8	4619	6761	6303	5110	14.86	14.91
5700	9	4737	6761	6503	4720	15.12	14.75
5708	8	4713	6625	6500	5186	14.52	14.96
5718	10	4713	6953	6954	5443	13.68	14.54
5726	8	4664	7229	6698	5211	14.25	14.26
5734	8	4522	7073	6370	5159	14.71	14.63
5742	8	4606	6796	6170	4986	15.21	14.88
